handicapped-infants, water-project-cost-sharing, adoption-of-the-budget-resolution, physician-fee-freeze, el-salvador-aid, religious-groups-in-schools, anti-satellite-test-ban, aid-to-nicaraguan-contras, mx-missile, immigration, synfuels-corporation-cutback, education-spending, superfund-right-to-sue, crime, duty-free-exports, export-administration-act-south-africa, Party
n,y,n,y,y,y,n,n,n,y,abstain,y,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,abstain,republican
abstain,y,y,abstain,y,y,n,n,n,n,y,n,y,y,n,n,democrat
n,y,y,n,abstain,y,n,n,n,n,y,n,y,n,n,y,democrat
y,y,y,n,y,y,n,n,n,n,y,n,y,y,y,y,democrat
n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,n,abstain,y,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,n,y,y,abstain,y,republican
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
y,y,y,n,n,n,y,y,y,n,n,n,n,n,abstain,abstain,democrat
n,y,n,y,y,n,n,n,n,n,abstain,n,y,y,n,n,republican
n,y,n,y,y,y,n,n,n,n,y,n,y,y,abstain,abstain,republican
n,y,y,n,n,n,y,y,y,n,n,n,y,n,abstain,abstain,democrat
y,y,y,n,n,y,y,y,abstain,y,y,n,n,n,y,abstain,democrat
n,y,n,y,y,y,n,n,n,n,n,y,abstain,abstain,n,abstain,republican
n,y,n,y,y,y,n,n,n,y,n,y,y,abstain,n,abstain,republican
y,n,y,n,n,y,n,y,abstain,y,y,y,abstain,n,n,y,democrat
y,abstain,y,n,n,n,y,y,y,n,n,n,y,n,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,n,republican
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
y,y,y,n,n,abstain,y,y,n,n,y,n,n,n,y,y,democrat
y,y,y,n,n,n,y,y,y,n,n,n,abstain,abstain,y,y,democrat
y,abstain,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,abstain,democrat
y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y,republican
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,abstain,democrat
y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
y,abstain,n,y,y,y,n,n,n,y,n,y,abstain,y,n,y,republican
y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y,democrat
y,y,y,n,n,n,y,y,y,n,abstain,n,n,n,n,abstain,democrat
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,abstain,democrat
y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,abstain,democrat
y,y,y,n,n,n,y,y,abstain,n,y,n,n,n,y,abstain,democrat
y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
y,n,y,n,n,n,y,y,abstain,n,n,n,n,n,n,abstain,democrat
y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y,democrat
n,abstain,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
n,y,n,y,y,y,n,abstain,n,n,n,y,y,y,n,y,republican
y,y,y,n,n,n,y,y,y,n,n,n,n,n,abstain,abstain,democrat
y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
y,y,y,n,n,y,abstain,y,n,n,y,y,n,y,n,abstain,democrat
n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,republican
n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,abstain,republican
y,y,y,n,n,abstain,y,y,y,y,n,n,n,n,y,abstain,democrat
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,abstain,democrat
y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y,democrat
y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y,democrat
y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,republican
n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
y,abstain,y,n,n,n,y,y,y,n,n,n,y,n,y,y,democrat
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,abstain,democrat
y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y,republican
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,abstain,democrat
y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y,republican
y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y,democrat
n,y,y,y,y,y,n,n,n,y,y,n,y,y,n,n,democrat
n,y,y,n,y,y,n,n,n,y,y,y,y,y,n,abstain,democrat
n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,democrat
y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y,democrat
n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n,republican
y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,abstain,democrat
y,n,y,n,n,n,y,y,abstain,y,y,y,n,y,n,y,democrat
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
n,abstain,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y,democrat
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y,democrat
n,n,n,y,y,y,n,n,n,y,n,n,y,y,n,abstain,republican
y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
y,y,y,n,n,n,y,y,n,y,y,n,n,abstain,y,y,democrat
y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y,democrat
y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y,democrat
y,n,y,n,y,y,n,abstain,abstain,n,y,n,abstain,abstain,y,y,democrat
n,n,abstain,n,y,y,n,n,n,n,y,y,y,y,n,y,democrat
y,n,n,n,y,y,y,n,n,y,y,n,n,y,n,y,democrat
y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y,democrat
n,n,n,y,y,y,n,n,n,y,abstain,y,y,y,n,n,republican
y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y,democrat
y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y,democrat
y,n,y,n,y,y,y,n,abstain,n,y,n,y,y,y,abstain,democrat
y,n,n,n,y,y,abstain,n,abstain,n,n,n,n,y,abstain,n,democrat
abstain,abstain,abstain,abstain,n,y,y,y,y,y,abstain,n,y,y,n,abstain,democrat
y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
n,abstain,abstain,abstain,abstain,abstain,abstain,abstain,abstain,abstain,abstain,n,abstain,y,abstain,abstain,republican
y,abstain,y,n,n,n,y,y,y,n,n,n,n,n,y,abstain,democrat
y,abstain,y,n,n,n,y,y,y,n,n,n,n,n,y,abstain,democrat
n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
n,abstain,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
n,abstain,y,n,n,y,y,y,n,y,n,n,n,n,y,abstain,democrat
n,abstain,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
y,abstain,y,n,n,n,y,y,y,n,n,n,n,n,y,abstain,democrat
n,abstain,y,n,abstain,abstain,y,y,y,y,abstain,n,n,n,y,y,democrat
y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y,republican
n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y,democrat
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
n,abstain,abstain,y,y,y,n,n,n,y,n,y,y,y,abstain,y,republican
n,abstain,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,republican
y,abstain,n,y,y,y,n,y,n,n,n,y,y,y,n,y,republican
n,abstain,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
n,abstain,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
n,abstain,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
n,abstain,y,n,n,n,y,y,y,y,y,n,n,y,y,y,democrat
n,abstain,y,n,n,y,n,y,n,y,y,n,n,n,y,y,democrat
abstain,abstain,y,n,n,n,y,y,abstain,n,abstain,n,abstain,abstain,abstain,abstain,democrat
y,abstain,y,n,abstain,abstain,y,y,y,n,n,n,n,n,y,abstain,democrat
n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y,democrat
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,abstain,republican
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,abstain,republican
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y,republican
n,abstain,y,n,n,y,y,y,y,y,n,n,n,y,y,y,democrat
n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y,democrat
y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y,democrat
n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y,republican
n,n,n,y,y,y,y,y,y,y,n,y,y,y,abstain,y,republican
n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y,republican
abstain,y,n,n,n,n,y,y,y,y,y,n,n,y,y,y,democrat
n,abstain,n,n,n,y,y,y,y,y,n,n,n,y,n,abstain,democrat
n,n,y,n,n,y,y,y,y,y,n,n,n,y,abstain,y,democrat
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y,democrat
n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y,republican
n,n,y,n,n,n,y,y,y,y,n,n,y,n,y,y,democrat
y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
y,y,abstain,y,y,y,n,n,y,n,y,n,y,y,n,n,democrat
n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y,democrat
n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y,democrat
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
y,y,n,y,y,y,n,abstain,n,n,y,y,y,y,n,n,republican
y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n,republican
n,y,y,n,n,y,n,y,y,n,y,n,abstain,abstain,abstain,abstain,democrat
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
n,y,y,n,abstain,y,y,y,y,y,y,n,n,abstain,n,abstain,democrat
n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y,democrat
n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y,democrat
n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y,democrat
n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,republican
y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,abstain,democrat
n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,abstain,democrat
y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y,republican
y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y,republican
n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,abstain,democrat
y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y,democrat
y,n,y,n,n,n,abstain,y,y,abstain,n,n,n,n,y,abstain,democrat
n,abstain,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
n,y,y,n,n,n,y,y,y,y,n,n,abstain,n,y,y,democrat
n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y,democrat
y,abstain,y,n,n,n,y,y,y,n,n,n,n,n,y,abstain,democrat
n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y,republican
n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
abstain,n,y,n,n,n,y,y,y,y,y,n,n,n,y,abstain,democrat
y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
abstain,abstain,y,n,n,n,y,y,y,abstain,abstain,n,n,n,abstain,abstain,democrat
n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
y,abstain,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
abstain,abstain,abstain,abstain,abstain,abstain,abstain,abstain,y,abstain,abstain,n,abstain,abstain,abstain,abstain,democrat
n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,abstain,democrat
y,abstain,n,y,y,y,y,y,n,n,n,y,abstain,y,abstain,abstain,republican
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
n,abstain,n,y,y,y,n,n,n,n,n,y,y,y,n,abstain,republican
n,y,n,y,y,y,n,abstain,n,y,n,y,y,y,n,abstain,republican
n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y,democrat
n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
n,n,y,n,n,y,y,abstain,y,y,y,n,n,n,y,y,democrat
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,abstain,republican
n,n,y,n,n,y,y,y,y,n,y,y,n,y,y,abstain,democrat
n,abstain,y,y,y,y,n,n,n,y,n,n,n,y,n,y,republican
n,n,y,n,n,n,y,y,y,y,y,n,abstain,n,y,abstain,democrat
y,y,n,n,n,n,y,y,abstain,n,y,n,n,n,y,abstain,democrat
n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y,democrat
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
y,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y,democrat
y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y,republican
n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y,democrat
n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,republican
y,abstain,n,y,y,y,y,n,n,y,n,y,y,y,n,y,republican
n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y,democrat
n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y,democrat
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y,democrat
y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
n,y,y,y,y,y,n,n,n,y,y,y,y,y,y,abstain,democrat
y,y,y,n,y,y,n,n,abstain,y,n,n,n,y,y,abstain,democrat
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
y,abstain,y,n,n,n,y,y,y,n,abstain,n,n,n,y,abstain,democrat
n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y,democrat
n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,abstain,democrat
n,y,y,n,y,y,n,n,n,n,y,n,n,n,y,abstain,democrat
y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,abstain,democrat
n,n,n,y,y,n,n,n,n,n,n,y,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,y,n,n,y,y,n,n,republican
n,abstain,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
n,n,y,n,n,y,y,y,y,n,y,n,n,y,y,y,democrat
