Metropolitan_Area,Cost_Living,Jobs,Climate,Health_Care,Recreation
"New Orleans, LA",54.68,74.78,75.92,91.5,100
"Cleveland-Lorain-Elyria, OH",21.25,75.07,16.43,84.7,99.71
"Grand Rapids-Muskegon-Holland, MI",52.7,90.36,6.79,27.19,99.43
"Long Island, NY",2.27,67.13,81.86,100,99.15
"Milwaukee-Waukesha, WI",16.72,65.72,15.29,84.98,98.86
"Norfolk-Virginia Beach-Newport News, VA-NC",44.76,83,69.4,23.79,98.58
"Rochester, NY",28.05,62.32,34.27,73.37,98.3
"Tampa-St. Petersburg-Clearwater, FL",79.89,94.33,90.65,77.05,98.01
"Orlando, FL",70.54,97.45,87.53,57.79,97.73
"Chicago, IL",9.35,86.96,16.14,81.3,97.16
"Riverside-San Bernardino, CA",23.52,99.43,97.73,31.72,96.88
"Detroit, MI",14.74,80.73,30.02,49,96.6
"Salt Lake City-Ogden, UT",30.32,98.3,62.03,68.83,96.31
"Minneapolis-St. Paul, MN-WI",21.53,94.61,4.53,93.2,96.03
"West Palm Beach-Boca Raton, FL",39.67,90.93,88.38,83,95.75
"Syracuse, NY",37.97,54.39,17.84,78.18,95.46
"Las Vegas, NV-AZ",38.53,99.71,87.81,24.36,95.18
"Phoenix-Mesa, AZ",37.68,100,94.33,51.55,94.9
"Barnstable-Yarmouth, MA",6.24,26.34,75.35,14.16,94.61
"Sarasota-Bradenton, FL",60.91,92.06,89.8,73.93,94.33
"Jacksonville, FL",71.39,91.5,86.11,71.38,94.05
"Charleston-North Charleston, SC",47.6,81.86,83.28,88.66,93.76
"San Francisco, CA",0.29,66.85,97.45,95.46,93.48
"Fort Myers-Cape Coral, FL",86.97,85.26,92.91,33.99,93.2
"Honolulu, HI",0.57,66.28,98.58,62.32,92.91
"Los Angeles-Long Beach, CA",5.67,48.15,99.15,67.98,92.63
"New York, NY",0,41.92,70.53,92.06,92.35
"Mobile, AL",64.88,74.22,67.42,60.9,92.06
"Daytona Beach, FL",94.06,69.4,86.4,26.06,91.78
"Melbourne-Titusville-Palm Bay, FL",83.29,58.92,92.35,23.51,91.5
"Atlantic City-Cape May, NJ",30.03,62.03,65.43,15.29,91.21
"Duluth-Superior, MN-WI",45.33,19.83,1.41,88.1,90.93
"Seattle-Bellevue-Everett, WA",8.5,97.16,77.62,87.25,90.65
"St. Louis, MO-IL",50.71,71.38,28.61,66.57,90.36
"San Diego, CA",3.12,97.73,99.71,68.55,90.08
"Miami, FL",35.13,83.85,91.21,96.88,89.8
"Buffalo-Niagara Falls, NY",41.36,50.99,19.26,81.58,89.51
"Dallas, TX",49.3,95.18,47.59,48.15,88.95
"Washington, DC-MD-VA-WV",4.54,92.91,56.09,98.3,88.66
"Wilmington, NC",40.51,78.75,68.55,61.47,88.38
"Kalamazoo-Battle Creek, MI",56.38,60.05,14.37,47.59,87.81
"Lakeland-Winter Haven, FL",73.09,53.54,86.68,20.67,87.53
"Kansas City, MO-KS",47.03,87.81,26.91,67.7,87.25
"Fort Pierce-Port St. Lucie, FL",69.98,60.9,91.5,15.86,86.96
"Portland-Vancouver, OR-WA",10.77,98.86,67.13,65.15,86.68
"Appleton-Oshkosh-Neenah, WI",54.4,79.32,4.24,54.1,86.4
"Knoxville, TN",88.11,88.38,57.5,86.68,86.11
"Greensboro-Winston-Salem-High Point, NC",32.58,84.41,80.73,72.23,85.83
"Portland, ME",49.01,36.82,45.04,75.35,85.55
"Houston, TX",59.5,94.9,80.45,65.43,85.26
"Baltimore, MD",22.38,75.92,69.68,86.4,84.98
"Monmouth-Ocean, NJ",11.62,54.95,71.95,43.34,84.7
"Tulsa, OK",80.74,72.52,36.54,49.29,84.41
"Fort Lauderdale, FL",33.43,93.48,90.93,62.88,84.13
"Myrtle Beach, SC",42.5,76.77,62.6,10.76,83.85
"Oakland, CA",3.69,87.53,97.16,56.94,83.56
"Ann Arbor, MI",7.37,77.33,32.57,94.33,83.28
"Houma, LA",84.99,22.94,79.03,22.09,83
"Denver, CO",22.1,95.46,50.42,85.26,82.71
"Biloxi-Gulfport-Pascagoula, MS",74.79,77.9,82.71,48.72,82.43
"Indianapolis, IN",55.53,84.7,23.51,88.95,82.15
"Columbus, OH",28.62,86.4,44.75,58.35,81.86
"Nashville, TN",67.14,93.76,42.49,86.96,81.59
"Charlotte-Gastonia-Rock Hill, NC-SC",27.2,94.05,71.8,50.14,81.3
"Orange County, CA",0.85,95.75,98.3,82.15,81.01
"Burlington, VT",20.12,30.87,9.06,66.85,80.73
"Louisville, KY-IN",51,80.16,47.02,87.81,80.45
"Omaha, NE-IA",51.56,84.13,12.46,94.61,79.88
"Salinas, CA",9.07,53.82,98.01,27.76,79.6
"Providence-Fall River-Warwick, RI-MA",18.7,23.51,54.67,47.3,79.32
"Tucson, AZ",53.55,92.63,87.25,74.5,79.03
"Cincinnati, OH-KY-IN",34.85,82.71,39.37,78.75,78.75
"Utica-Rome, NY",17,24.36,15.01,35.41,78.47
"Pittsburgh, PA",38.82,62.88,48.15,94.05,78.18
"Oklahoma City, OK",82.44,72.23,34.56,63.73,77.9
"Albany-Schenectady-Troy, NY",25.22,52.97,8.78,77.33,77.62
"Akron, OH",47.31,86.11,22.66,24.07,77.33
"Boston, MA-NH",1.14,49,59.2,94.9,77.05
"Savannah, GA",57.51,48.72,81.01,52.12,76.77
"Newark, NJ",3.97,32.57,60.05,88.38,76.48
"Atlanta, GA",39.38,99.15,69.97,57.22,76.2
"Memphis, TN-AR-MS",77.06,92.35,40.79,80.73,75.92
"Pensacola, FL",80.46,74.5,85.55,56.65,75.63
"Erie, PA",56.66,20.11,24.07,54.95,75.35
"Hartford, CT",11.9,35.41,41.35,66.28,75.07
"Philadelphia, PA-NJ",10.2,78.18,56.94,85.55,74.78
"Richmond-Petersburg, VA",32.02,84.98,63.45,83.85,74.5
"Sacramento, CA",25.5,96.03,94.05,59.2,74.22
"Youngstown-Warren, OH",70.26,65.43,22.09,20.39,73.65
"Birmingham, AL",51.28,77.33,66.85,97.45,73.37
"Fort Worth-Arlington, TX",74.23,98.58,47.59,29.46,73.08
"Raleigh-Durham-Chapel Hill, NC",13.32,96.88,70.82,93.48,72.8
"Greenville-Spartanburg-Anderson, SC",58.08,85.83,74.78,55.52,72.52
"Jamestown, NY",38.25,0.84,14.44,8.49,72.23
"Scranton-Wilkes Barre-Hazelton, PA",52.13,20.96,39.94,80.45,71.95
"Benton Harbor, MI",45.61,7.08,10.76,28.04,71.67
"Peoria-Pekin, IL",71.96,55.24,18.69,39.66,71.1
"Fort Walton Beach, FL",53.26,55.52,76.48,20.96,70.82
"Reno, NV",28.33,61.75,88.1,66,70.53
"Albuquerque, NM",44.48,90.65,78.18,77.9,70.25
"Tacoma, WA",34.28,89.8,77.05,26.34,69.97
"Columbia, SC",64.03,88.95,68.27,73.65,69.4
"Toledo, OH",46.46,58.64,29.74,87.53,69.12
"Austin-San Marcos, TX",50.43,98.01,71.67,64.87,68.83
"Saginaw-Bay City-Midland, MI",66.58,37.96,17.56,46.74,68.55
"Little Rock-North Little Rock, AR",63.18,79.03,49,92.35,68.27
"Canton-Massillon, OH",58.65,56.37,22.66,34.27,67.98
"Davenport-Moline-Rock Island, IA-IL",72.81,34.84,20.11,33.42,67.7
"Des Moines, IA",50.15,68.83,8.49,39.37,67.42
"Punta Gorda, FL",61.19,58.07,90.08,23.22,67.13
"Fort Wayne, IN",83.57,56.09,13.88,50.7,66.85
"Springfield, MA",34,10.76,7.93,42.77,66.57
"Panama City, FL",65.44,44.75,84.7,12.18,66.28
"Worcester, MA-CT",15.3,14.16,42.2,69.97,66
"San Antonio, TX",91.79,96.31,65.15,68.27,65.72
"Santa Barbara-Santa Maria-Lompoc, CA",1.99,66,100,71.1,65.43
"Lansing-East Lansing, MI",45.9,61.18,11.04,26.91,65.15
"San Jose, CA",1.7,81.58,96.31,70.53,64.87
"Vallejo-Fairfield-Napa, CA",7.94,89.23,93.2,28.61,64.58
"Wilmington-Newark, DE-MD",29.18,64.02,59.77,32.86,64.02
"Glens Falls, NY",22.92,1.98,3.68,36.82,63.73
"Huntsville, AL",67.71,67.98,53.25,45.32,63.45
