"","mpg","cylinders","cubicinches","hp","weightlbs","time.to.60","year","brand","label"
"1",14,1,0.728682170542636,165,0.767139479905437,12,2006," US.",1
"2",31.9,0.2,0.0542635658914729,71,0.0921985815602837,14,2014," Europe.",2
"3",17,1,0.604651162790698,140,0.542553191489362,11,2005," US.",1
"4",15,1,0.857881136950904,150,0.634751773049645,10,2005," US.",1
"5",30.5,0.2,0.0775193798449612,63,0.129432624113475,17,2012," US.",2
"6",23,1,0.728682170542636,125,0.675827423167849,17,2014," US.",1
"7",13,1,0.731266149870801,158,0.812647754137116,13,2008," US.",1
"8",14,1,0.961240310077519,215,0.7975768321513,9,2005," US.",1
"9",25.4,0.4,0.297157622739018,77,0.566489361702128,20,2014," Europe.",3
"10",37.7,0.2,0.0542635658914729,62,0.129137115839244,17,2016," Japan.",2
"11",34,0.2,0.103359173126615,70,0.186761229314421,17,2017," Japan.",2
"12",34.3,0.2,0.0749354005167959,78,0.169917257683215,16,2015," Europe.",2
"13",16,1,0.604651162790698,140,0.747044917257683,14,2009," US.",1
"14",11,1,0.728682170542636,180,0.606087470449173,11,2008," US.",1
"15",19.1,0.6,0.405684754521964,90,0.522458628841608,19,2015," US.",3
"16",16.9,1,0.728682170542636,155,0.811761229314421,15,2014," US.",1
"17",31.8,0.2,0.0439276485788114,65,0.120271867612293,19,2014," Japan.",2
"18",16,1,0.609819121447028,150,0.537825059101655,12,2005," US.",1
"19",24,0.2,0.116279069767442,95,0.196513002364066,16,2007," Japan.",2
"20",24,0.2,0.10077519379845,90,0.241430260047281,15,2005," Europe.",2
"21",37.2,0.2,0.0465116279069767,65,0.119976359338061,16,2015," Japan.",2
"22",21.5,0.2,0.136950904392765,110,0.291666666666667,13,2012," Europe.",2
"23",24,0.6,0.341085271317829,81,0.413416075650118,18,2011," US.",3
"24",15.5,1,0.731266149870801,142,0.721335697399527,14,2014," US.",1
"25",38.1,0.2,0.0542635658914729,60,0.104905437352246,19,2015," Japan.",2
"26",33,0.2,0.0594315245478036,53,0.0537825059101655,17,2011," Japan.",2
"27",31,0.2,0.00775193798449612,65,0.0472813238770686,19,2006," Japan.",2
"28",14,1,0.731266149870801,148,0.899527186761229,14,2010," US.",1
"29",18,0.6,0.470284237726098,78,0.579491725768322,21,2011," US.",3
